impl,points,dims,time
cython_parallel,400,30,0.0032045841217041016
cython_parallel,400,30,0.0031316280364990234
cython_parallel,400,30,0.0029091835021972656
cython_parallel,400,30,0.003055572509765625
cython_parallel,400,30,0.0032265186309814453
python_brute,300,4,0.10504651069641113
python_brute,300,4,0.09491181373596191
python_brute,300,4,0.09309530258178711
python_brute,300,4,0.09517383575439453
python_brute,300,4,0.09456086158752441
python_cached,300,4,0.06013202667236328
python_cached,300,4,0.0501711368560791
python_cached,300,4,0.04706740379333496
python_cached,300,4,0.050969600677490234
python_cached,300,4,0.04765605926513672
numpy_brute,300,4,0.457427978515625
numpy_brute,300,4,0.45368075370788574
numpy_brute,300,4,0.46894145011901855
numpy_brute,300,4,0.45743680000305176
numpy_brute,300,4,0.4539945125579834
numpy_cached,300,4,0.23665428161621094
numpy_cached,300,4,0.23107361793518066
numpy_cached,300,4,0.23345375061035156
numpy_cached,300,4,0.24310851097106934
numpy_cached,300,4,0.2429509162902832
numpy_broadcast,300,4,0.005183219909667969
numpy_broadcast,300,4,0.005056858062744141
numpy_broadcast,300,4,0.004981040954589844
numpy_broadcast,300,4,0.004786014556884766
numpy_broadcast,300,4,0.005053997039794922
numpy_double_broadcast,300,4,0.005205869674682617
numpy_double_broadcast,300,4,0.004881143569946289
numpy_double_broadcast,300,4,0.005462169647216797
numpy_double_broadcast,300,4,0.005354166030883789
numpy_double_broadcast,300,4,0.005337238311767578
scipy,300,4,0.0005197525024414062
scipy,300,4,0.0004467964172363281
scipy,300,4,0.0003223419189453125
scipy,300,4,0.0003457069396972656
scipy,300,4,0.00033664703369140625
cython,300,4,0.0002942085266113281
cython,300,4,0.000354766845703125
cython,300,4,0.00036907196044921875
cython,300,4,0.0003006458282470703
cython,300,4,0.00031185150146484375
cython_parallel,300,4,0.0005199909210205078
cython_parallel,300,4,0.0008096694946289062
cython_parallel,300,4,0.0005178451538085938
cython_parallel,300,4,0.0006101131439208984
cython_parallel,300,4,0.0005586147308349609
python_brute,100,30,0.045829057693481445
python_brute,100,30,0.05129528045654297
python_brute,100,30,0.05245065689086914
python_brute,100,30,0.04188942909240723
python_brute,100,30,0.04240822792053223
python_cached,100,30,0.021826505661010742
python_cached,100,30,0.020865201950073242
python_cached,100,30,0.021290302276611328
python_cached,100,30,0.02137589454650879
